category,subcategory,name,current_price,raw_price,likes_count,is_new,id
kids,Sandals,Sandales d'eau à bout fermé à séchage rapide pour enfants unisexe,16.2,32.4,45,False,1696009
kids,Culottes de grossesse,Lot de 3 Culottes en Coton Pure Elastique Convenable pour Maternité,23.06,58.1,202,False,1199879
kids,Culottes de grossesse,Sous-vêtements de maternité confortables taille haute,14.03,35.35,153,False,1320317
kids,Sandals,Unisexe Kids Comfy antidérapant jardin chaussures de sabot d'eau de jardin,6.99,13.0,60,False,1693907
kids,Chaussures pour garçon,Sandales de plage légères pour garçon,12.45,22.0,158,False,1449419
kids,Robes,Robe fille licorne papillon pour 4-13 ans,9.99,26.99,914,False,1441888
kids,Robes,Girls Unicorn Rainbow Stripe Print Short-sleeved Casual Dress For 3-8Y,19.99,39.98,42,False,1678233
kids,Pantalons & Jupes,Jeans brodé chat fille pour 3-15 ans,18.04,45.46,670,False,1499924
kids,Pantalons & Jupes,Combinaison dos nu fille pour 3Y-11Y,20.05,50.52,686,False,1277757
kids,Pantalons & Jupes,Combinaison à fleurs Bohème pour filles,24.06,60.63,667,False,1300717
kids,Robes,Robe de fleur de princesse fille 2PCs pour 1-7Y,32.09,80.84,171,False,1624942
kids,Robes,Filles Robe Grise Plissée Pour 4Y-15Y,49.14,123.8,752,False,1347579
kids,Robes,Filles Sling Sun Print Dress mignon pour 2-9Y,15.03,37.88,263,False,1525806
kids,Robes,Robe mère-fille fleurie assortie,23.99,39.99,104,False,1365953
kids,Pantalons & Jupes,Combinaisons Dot Design Girls pour 2Y-11Y,26.07,65.68,1045,False,1281655
kids,Tops & T-shirt,T-shirt garçon imprimé crocodile pour 2-8 ans,9.49,18.98,30,False,1664939
kids,Robes,Robe de princesse fille licorne pour 3-13 ans,29.08,73.26,977,False,1448500
kids,Tops & T-shirt,T-shirt d'été pour garçon dinosaure pour 2-10 ans,11.52,29.04,44,False,1664940
kids,Pyjamas,Pyjama rayé dinosaure garçon pour 1 à 7 ans,17.49,34.98,29,False,1662735
kids,Robes,Robe pour fille de 2-8 ans,28.07,70.73,602,False,1268210
kids,Flats & Loafers,Unisexe Enfants Comfy Respirant Soft Semelle Décontractée Slip On Chaussures Plates,18.0,40.99,20,False,1694703
kids,Robes,Robe à bretelles Flower Girl pour 1 à 7 ans,20.05,50.52,327,False,1447479
kids,Sandals,Unisexe Kids Classic Tie-Dye Hole Garden Water Clog Shoes,12.42,23.84,9,False,1704681
kids,Robes,Soft Robe de fillette en coton 2Y-11Y,27.07,68.21,416,False,1308299
kids,Chaussures pour garçon,Chaussures causales à boucles à crochets respirantes unisexe,30.49,51.12,442,False,1364081
kids,Robes,Flower Girls Casual Dress Pour 2-11Y         ,22.06,55.57,233,False,1437371
kids,Robes,Robe de dessin animé pour fille de 2-9 ans,19.05,47.99,618,False,1259163
kids,Robes,Robe à volants à fleurs bleues pour fille 3-10 ans,17.99,35.98,30,False,1674615
kids,Robes,Princesse Layered Girls Dress Pour 3Y-11Y,33.38,84.1,383,False,1366043
kids,Robes,Casual Robe imprimée à col en V pour 4-15Y,21.05,53.04,243,False,1401988
kids,Robes,Fleur filles robe en mousseline de soie pour 4Y-15Y,23.06,58.1,956,False,1400493
kids,Robes,Vintage filles lâche robe pour 4-15 ans,25.06,63.15,283,False,1425816
kids,Robes,Robe à imprimé papillon pour fille pour 2-8 ans,17.99,35.98,20,False,1682989
kids,Robes,Robe de princesse pour filles à gros nœud pour 1Y-7Y,31.08,78.32,471,False,1361078
kids,Sandals,Sandales d'eau à bout fermé à séchage rapide pour enfants unisexe,16.2,32.4,45,False,1696009
kids,Culottes de grossesse,Lot de 3 Culottes en Coton Pure Elastique Convenable pour Maternité,23.06,58.1,202,False,1199879
kids,Culottes de grossesse,Sous-vêtements de maternité confortables taille haute,14.03,35.35,153,False,1320317
kids,Sandals,Unisexe Kids Comfy antidérapant jardin chaussures de sabot d'eau de jardin,6.99,13.0,60,False,1693907
kids,Chaussures pour garçon,Sandales de plage légères pour garçon,12.45,22.0,158,False,1449419
kids,Robes,Robe fille licorne papillon pour 4-13 ans,9.99,26.99,914,False,1441888
kids,Robes,Girls Unicorn Rainbow Stripe Print Short-sleeved Casual Dress For 3-8Y,19.99,39.98,42,False,1678233
kids,Pantalons & Jupes,Jeans brodé chat fille pour 3-15 ans,18.04,45.46,670,False,1499924
kids,Pantalons & Jupes,Combinaison dos nu fille pour 3Y-11Y,20.05,50.52,686,False,1277757
kids,Pantalons & Jupes,Combinaison à fleurs Bohème pour filles,24.06,60.63,667,False,1300717
kids,Robes,Robe de fleur de princesse fille 2PCs pour 1-7Y,32.09,80.84,171,False,1624942
kids,Robes,Filles Robe Grise Plissée Pour 4Y-15Y,49.14,123.8,752,False,1347579
kids,Robes,Filles Sling Sun Print Dress mignon pour 2-9Y,15.03,37.88,263,False,1525806
kids,Robes,Robe mère-fille fleurie assortie,23.99,39.99,104,False,1365953
kids,Pantalons & Jupes,Combinaisons Dot Design Girls pour 2Y-11Y,26.07,65.68,1045,False,1281655
kids,Tops & T-shirt,T-shirt garçon imprimé crocodile pour 2-8 ans,9.49,18.98,30,False,1664939
kids,Robes,Robe de princesse fille licorne pour 3-13 ans,29.08,73.26,977,False,1448500
kids,Tops & T-shirt,T-shirt d'été pour garçon dinosaure pour 2-10 ans,11.52,29.04,44,False,1664940
kids,Pyjamas,Pyjama rayé dinosaure garçon pour 1 à 7 ans,17.49,34.98,29,False,1662735
kids,Robes,Robe pour fille de 2-8 ans,28.07,70.73,602,False,1268210
kids,Flats & Loafers,Unisexe Enfants Comfy Respirant Soft Semelle Décontractée Slip On Chaussures Plates,18.0,40.99,20,False,1694703
kids,Robes,Robe à bretelles Flower Girl pour 1 à 7 ans,20.05,50.52,327,False,1447479
kids,Sandals,Unisexe Kids Classic Tie-Dye Hole Garden Water Clog Shoes,12.42,23.84,9,False,1704681
kids,Robes,Soft Robe de fillette en coton 2Y-11Y,27.07,68.21,416,False,1308299
kids,Chaussures pour garçon,Chaussures causales à boucles à crochets respirantes unisexe,30.49,51.12,442,False,1364081
kids,Robes,Flower Girls Casual Dress Pour 2-11Y         ,22.06,55.57,233,False,1437371
kids,Robes,Robe de dessin animé pour fille de 2-9 ans,19.05,47.99,618,False,1259163
kids,Robes,Robe à volants à fleurs bleues pour fille 3-10 ans,17.99,35.98,30,False,1674615
kids,Robes,Princesse Layered Girls Dress Pour 3Y-11Y,33.38,84.1,383,False,1366043
kids,Robes,Casual Robe imprimée à col en V pour 4-15Y,21.05,53.04,243,False,1401988
kids,Robes,Fleur filles robe en mousseline de soie pour 4Y-15Y,23.06,58.1,956,False,1400493
kids,Robes,Vintage filles lâche robe pour 4-15 ans,25.06,63.15,283,False,1425816
kids,Robes,Robe à imprimé papillon pour fille pour 2-8 ans,17.99,35.98,20,False,1682989
kids,Robes,Robe de princesse pour filles à gros nœud pour 1Y-7Y,31.08,78.32,471,False,1361078
kids,Tops & Tees,Chemise décontractée confortable pour femmes enceintes,22.06,55.57,123,False,1422795
kids,Pyjamas,Pyjama garçon à imprimé animal pour 1-5 ans,13.49,26.98,12,False,1674245
kids,Slippers,Unisexe enfants ange ailes décor antidérapant Soft semelle mignon pantoufles,8.26,18.36,2,False,1716922
kids,Slippers,Pantoufles antidérapantes unisexe pour enfants mignons petits animaux,12.07,26.82,2,True,1717358
kids,Slippers,Pantoufles à la maison antidérapantes pour enfants unisexes,9.32,20.71,2,True,1717467
kids,Sneakers,Unisexe Enfants Daisy Pattern Colorblock Soft Casual Sneakers,30.88,68.62,3,True,1717972
kids,Sneakers,Unisexe Colorblock Soft Baskets de course antidérapantes,22.05,49.0,3,True,1719889
kids,Flats & Loafers,Mocassins plats de danse scolaire à lacets pour filles,23.44,52.09,1,True,1720073
kids,Sandals,Sandales de plage unisexe pour enfants,13.52,30.04,3,False,1716763
kids,Sneakers,Unisexe Enfants Élastique Bande Tricoté Soft Slip On Sneakers,20.99,57.58,4,True,1721730
kids,Robes,Robe de plumes à manches longues pour filles 4-15Y,25.99,43.99,62,False,1408722
kids,Culottes de grossesse,"Culotte de shorty enceinte pour garçons, respirante et modale, respirante et confortable",12.03,30.3,53,False,1166832
