category,subcategory,name,current_price,raw_price,likes_count,is_new,id
women,T-shirts,T-shirt boutonné à manches courtes et imprimé floral,23.99,46.99,313,False,1690810
women,Robes imprimées,Robe midi décontractée à imprimé floral,23.99,46.99,1262,False,1691484
women,T-shirts,T-shirt brodé de fleurs,15.99,38.88,4485,False,1655044
women,Robes imprimées,Robe longue à imprimé floral vintage,33.99,70.99,2419,False,1527134
women,Vestes & Gilets,Vestes à imprimé floral de style ethnique,25.99,72.47,4393,False,1561403
women,T-shirts,T-shirt simple à fleurs,19.42,39.99,3240,False,1654724
women,Robes imprimées,Robe longue à patchwork imprimé,28.99,73.31,5822,False,1509346
women,T-shirts,T-shirt imprimé poisson,17.99,39.99,3542,False,1656834
women,Robes imprimées,Robe midi bohème imprimée à pois,24.99,46.99,1730,False,1666207
women,Robes imprimées,Robe mi-longue imprimée à fleurs,21.99,42.99,541,False,1697894
women,Robes imprimées,Robe maxi sans manches imprimé patchwork,24.99,60.84,1690,False,1565270
women,Robes décontractées,Robe longue de couleur contrastée,26.57,48.99,3363,False,1526607
women,Robes imprimées,Robe imprimée à poches col rond,30.66,58.98,464,False,1665087
women,Robes imprimées,Robe longue bouffante à imprimé floral,19.99,59.07,1584,False,1591654
women,T-shirts,T-shirt décontracté à fleurs,21.99,43.88,1346,False,1656117
women,T-shirts,T-shirt boutonné uni,19.99,47.99,2442,False,1651757
women,Chemises,Blouse patchwork à imprimé vintage,19.99,64.97,8286,False,1430434
women,Robes imprimées,Robe midi chemise boutonnée vintage,27.27,55.38,2951,False,1472759
women,T-shirts,T-shirt boutonné à fleurs,20.44,38.88,2094,False,1661821
women,Robes imprimées,Robe décontractée imprimée,15.99,41.28,972,False,1546066
women,Robes imprimées,Robe de couleur contrastée florale,28.99,56.98,798,False,1667744
women,Chemises,T-shirt imprimé chat de dessin animé,21.99,62.2,3845,False,1595497
women,Robes imprimées,Robe maxi vintage imprimé bohème,43.96,83.99,1573,False,1554317
women,Chemises,T-shirt imprimé chat dessin animé,18.99,44.13,1678,False,1526702
women,T-shirts,T-shirt à fleurs Daisy,23.99,47.99,913,False,1675818
women,T-shirts,T-shirt décontracté ample imprimé,19.99,43.99,2010,False,1654723
women,T-shirts,T-shirt patchwork imprimé floral,23.99,46.99,1118,False,1671268
women,T-shirts,T-shirt bouton grenouille imprimé chat,20.44,38.88,1642,False,1662805
women,Robes imprimées,Robe sans manches à fleurs,32.99,72.99,727,False,1674703
women,T-shirts,T-shirt à col rond imprimé fleuri,22.99,44.99,929,False,1685597
women,Chemises,T-shirt imprimé floral marguerite ,21.99,48.86,885,False,1664076
women,Chemises,T-shirt à manches courtes imprimé papillon,21.99,39.28,16,False,1705158
women,Robes imprimées,Robe à encolure en V et imprimé géométrique,24.99,44.9,4,False,1711047
women,Robes décontractées,Robe plissée à col en V et nœud papillon,29.99,65.99,5,True,1719054
women,Robes imprimées,Robe patchwork à imprimé floral vintage,25.99,57.75,2,True,1708321
women,T-shirts,T-shirt ras du cou imprimé lettre,19.42,36.98,35,False,1668317
women,Robes imprimées,Robe sans manches imprimée à rayures,27.99,57.99,60,False,1466550
women,Chemises,T-shirt décontracté à ourlet asymétrique,27.99,59.35,65,False,1596407
women,Vestes & Gilets,Veste à capuche à motif floral,44.99,97.87,155,False,1564692
women,Pajamas Bottoms,Plus Pyjama 100% coton imprimé,9.99,17.98,2,False,1713148
women,Robes décontractées,Robe patchwork à pois,26.99,58.67,4,False,1705168
women,T-shirts,T-shirt à imprimé arc-en-ciel,23.51,45.99,53,False,1653863
women,Chemises,Chemise patchwork imprimé léopard,23.99,52.15,27,False,1690884
women,Vestes & Gilets,Manteau à capuche en polaire léopard ,23.99,45.99,48,False,1579190
women,Vestes & Gilets,Manteau en molleton imitation daim,44.43,87.32,119,False,1609797
women,Robes imprimées,Robe ras du cou imprimée,28.99,57.99,187,False,1527892
women,Robes décontractées,Robe patchwork décontractée ,27.99,59.55,13,False,1664051
women,Robes décontractées,Robe décontractée de couleur unie ,26.99,61.34,74,False,1665609
women,Chemises,Blouse ample à col en V de couleur unie,18.99,42.2,19,False,1670485
women,Robes imprimées,Robe longue sans manches à imprimé d'été ,23.99,53.31,26,False,1676221
women,Robes décontractées,Robe imprimée lettre arbres,27.99,54.98,30,False,1676423
